Count of elements - 10000
Car:   fuel tank capacity: 356; fuel consumption: 25; max speed: 293; max distance: 14
Car:   fuel tank capacity: 366; fuel consumption: 227; max speed: 779; max distance: 1
Car:   fuel tank capacity: 411; fuel consumption: 543; max speed: 231; max distance: 0
Bus:   fuel tank capacity: 287; fuel consumption: 540; max passengers: 495; max distance: 0
Truck: fuel tank capacity: 211; fuel consumption: 133; lifting capacity: 0; max distance: 1
Car:   fuel tank capacity: 704; fuel consumption: 29; max speed: 813; max distance: 24
Car:   fuel tank capacity: 943; fuel consumption: 863; max speed: 319; max distance: 1
Car:   fuel tank capacity: 642; fuel consumption: 924; max speed: 837; max distance: 0
Car:   fuel tank capacity: 17; fuel consumption: 89; max speed: 114; max distance: 0
Bus:   fuel tank capacity: 961; fuel consumption: 166; max passengers: 137; max distance: 5
Car:   fuel tank capacity: 659; fuel consumption: 832; max speed: 777; max distance: 0
Truck: fuel tank capacity: 50; fuel consumption: 774; lifting capacity: 0; max distance: 0
Truck: fuel tank capacity: 247; fuel consumption: 919; lifting capacity: 0; max distance: 0
Truck: fuel tank capacity: 35; fuel consumption: 235; lifting capacity: 0; max distance: 0
Car:   fuel tank capacity: 979; fuel consumption: 144; max speed: 12; max distance: 6
Car:   fuel tank capacity: 567; fuel consumption: 778; max speed: 521; max distance: 0
Truck: fuel tank capacity: 20; fuel consumption: 775; lifting capacity: 0; max distance: 0
Bus:   fuel tank capacity: 531; fuel consumption: 48; max passengers: 338; max distance: 11
Truck: fuel tank capacity: 606; fuel consumption: 833; lifting capacity: 0; max distance: 0
Truck: fuel tank capacity: 734; fuel consumption: 325; lifting capacity: 0; max distance: 2
Truck: fuel tank capacity: 907; fuel consumption: 759; lifting capacity: 0; max distance: 1
Bus:   fuel tank capacity: 285; fuel consumption: 812; max passengers: 531; max distance: 0
Truck: fuel tank capacity: 531; fuel consumption: 233; lifting capacity: 0; max distance: 2
Car:   fuel tank capacity: 899; fuel consumption: 442; max speed: 366; max distance: 2
Truck: fuel tank capacity: 403; fuel consumption: 612; lifting capacity: 0; max distance: 0
Car:   fuel tank capacity: 206; fuel consumption: 792; max speed: 903; max distance: 0
Car:   fuel tank capacity: 407; fuel consumption: 987; max speed: 609; max distance: 0
Bus:   fuel tank capacity: 314; fuel consumption: 711; max passengers: 668; max distance: 0
Bus:   fuel tank capacity: 830; fuel consumption: 660; max passengers: 269; max distance: 1
Bus:   fuel tank capacity: 494; fuel consumption: 400; max passengers: 765; max distance: 1
Car:   fuel tank capacity: 389; fuel consumption: 446; max speed: 865; max distance: 0
Truck: fuel tank capacity: 12; fuel consumption: 560; lifting capacity: 0; max distance: 0
Car:   fuel tank capacity: 538; fuel consumption: 822; max speed: 373; max distance: 0
Bus:   fuel tank capacity: 988; fuel consumption: 389; max passengers: 208; max distance: 2
Bus:   fuel tank capacity: 791; fuel consumption: 161; max passengers: 209; max distance: 4
Car:   fuel tank capacity: 92; fuel consumption: 70; max speed: 116; max distance: 1
Bus:   fuel tank capacity: 259; fuel consumption: 799; max passengers: 5; max distance: 0
Bus:   fuel tank capacity: 132; fuel consumption: 716; max passengers: 204; max distance: 0
Bus:   fuel tank capacity: 783; fuel consumption: 13; max passengers: 230; max distance: 60
Car:   fuel tank capacity: 407; fuel consumption: 366; max speed: 596; max distance: 1
Truck: fuel tank capacity: 939; fuel consumption: 117; lifting capacity: 0; max distance: 8
Car:   fuel tank capacity: 635; fuel consumption: 213; max speed: 713; max distance: 2
Truck: fuel tank capacity: 876; fuel consumption: 552; lifting capacity: 0; max distance: 1
Bus:   fuel tank capacity: 31; fuel consumption: 621; max passengers: 206; max distance: 0
Truck: fuel tank capacity: 584; fuel consumption: 684; lifting capacity: 0; max distance: 0
Car:   fuel tank capacity: 292; fuel consumption: 218; max speed: 528; max distance: 1
Bus:   fuel tank capacity: 421; fuel consumption: 344; max passengers: 437; max distance: 1
Truck: fuel tank capacity: 245; fuel consumption: 731; lifting capacity: 0; max distance: 0
Truck: fuel tank capacity: 262; fuel consumption: 628; lifting capacity: 0; max distance: 0
Bus:   fuel tank capacity: 520; fuel consumption: 624; max passengers: 361; max distance: 0
Bus:   fuel tank capacity: 570; fuel consumption: 960; max passengers: 797; max distance: 0
Bus:   fuel tank capacity: 463; fuel consumption: 150; max passengers: 338; max distance: 3
Car:   fuel tank capacity: 94; fuel consumption: 744; max speed: 221; max distance: 0
Bus:   fuel tank capacity: 78; fuel consumption: 344; max passengers: 892; max distance: 0
Car:   fuel tank capacity: 845; fuel consumption: 845; max speed: 684; max distance: 1
Truck: fuel tank capacity: 708; fuel consumption: 271; lifting capacity: 0; max distance: 2
Truck: fuel tank capacity: 519; fuel consumption: 867; lifting capacity: 0; max distance: 0
Bus:   fuel tank capacity: 440; fuel consumption: 733; max passengers: 289; max distance: 0
Truck: fuel tank capacity: 775; fuel consumption: 66; lifting capacity: 0; max distance: 11
Car:   fuel tank capacity: 928; fuel consumption: 969; max speed: 379; max distance: 0
Car:   fuel tank capacity: 887; fuel consumption: 747; max speed: 832; max distance: 1
Truck: fuel tank capacity: 822; fuel consumption: 952; lifting capacity: 0; max distance: 0
Car:   fuel tank capacity: 1; fuel consumption: 199; max speed: 577; max distance: 0
Truck: fuel tank capacity: 715; fuel consumption: 253; lifting capacity: 0; max distance: 2
Car:   fuel tank capacity: 410; fuel consumption: 934; max speed: 238; max distance: 0
Truck: fuel tank capacity: 122; fuel consumption: 174; lifting capacity: 0; max distance: 0
Bus:   fuel tank capacity: 78; fuel consumption: 664; max passengers: 421; max distance: 0
Car:   fuel tank capacity: 953; fuel consumption: 491; max speed: 464; max distance: 1
Truck: fuel tank capacity: 349; fuel consumption: 397; lifting capacity: 0; max distance: 0
Bus:   fuel tank capacity: 478; fuel consumption: 776; max passengers: 983; max distance: 0
Truck: fuel tank capacity: 492; fuel consumption: 236; lifting capacity: 0; max distance: 2
Bus:   fuel tank capacity: 615; fuel consumption: 213; max passengers: 874; max distance: 2
Car:   fuel tank capacity: 814; fuel consumption: 300; max speed: 284; max distance: 2
Car:   fuel tank capacity: 396; fuel consumption: 81; max speed: 568; max distance: 4
Truck: fuel tank capacity: 174; fuel consumption: 501; lifting capacity: 0; max distance: 0
Truck: fuel tank capacity: 722; fuel consumption: 319; lifting capacity: 0; max distance: 2
Truck: fuel tank capacity: 9; fuel consumption: 1000; lifting capacity: 0; max distance: 0
Car:   fuel tank capacity: 566; fuel consumption: 981; max speed: 642; max distance: 0
Bus:   fuel tank capacity: 925; fuel consumption: 559; max passengers: 421; max distance: 1
Car:   fuel tank capacity: 377; fuel consumption: 735; max speed: 534; max distance: 0
Truck: fuel tank capacity: 508; fuel consumption: 105; lifting capacity: 0; max distance: 4
Car:   fuel tank capacity: 864; fuel consumption: 404; max speed: 345; max distance: 2
Car:   fuel tank capacity: 949; fuel consumption: 722; max speed: 60; max distance: 1
Bus:   fuel tank capacity: 739; fuel consumption: 349; max passengers: 644; max distance: 2
Car:   fuel tank capacity: 123; fuel consumption: 548; max speed: 297; max distance: 0
Car:   fuel tank capacity: 793; fuel consumption: 478; max speed: 874; max distance: 1
Car:   fuel tank capacity: 826; fuel consumption: 634; max speed: 556; max distance: 1
Truck: fuel tank capacity: 327; fuel consumption: 327; lifting capacity: 0; max distance: 1
Truck: fuel tank capacity: 823; fuel consumption: 146; lifting capacity: 0; max distance: 5
Car:   fuel tank capacity: 470; fuel consumption: 584; max speed: 311; max distance: 0
Truck: fuel tank capacity: 366; fuel consumption: 206; lifting capacity: 0; max distance: 1
Car:   fuel tank capacity: 703; fuel consumption: 94; max speed: 298; max distance: 7
Car:   fuel tank capacity: 473; fuel consumption: 777; max speed: 765; max distance: 0
Car:   fuel tank capacity: 749; fuel consumption: 106; max speed: 11; max distance: 7
Bus:   fuel tank capacity: 443; fuel consumption: 331; max passengers: 858; max distance: 1
Car:   fuel tank capacity: 861; fuel consumption: 972; max speed: 146; max distance: 0
Truck: fuel tank capacity: 666; fuel consumption: 271; lifting capacity: 0; max distance: 2
Truck: fuel tank capacity: 139; fuel consumption: 25; lifting capacity: 0; max distance: 5
Bus:   fuel tank capacity: 644; fuel consumption: 855; max passengers: 480; max distance: 0
Car:   fuel tank capacity: 22; fuel consumption: 702; max speed: 383; max distance: 0
Truck: fuel tank capacity: 967; fuel consumption: 472; lifting capacity: 0; max distance: 2
Car:   fuel tank capacity: 960; fuel consumption: 31; max speed: 460; max distance: 30
Bus:   fuel tank capacity: 49; fuel consumption: 673; max passengers: 895; max distance: 0
Truck: fuel tank capacity: 877; fuel consumption: 480; lifting capacity: 0; max distance: 1
Truck: fuel tank capacity: 348; fuel consumption: 796; lifting capacity: 0; max distance: 0
Car:   fuel tank capacity: 115; fuel consumption: 147; max speed: 519; max distance: 0
Truck: fuel tank capacity: 523; fuel consumption: 676; lifting capacity: 0; max distance: 0
Bus:   fuel tank capacity: 74; fuel consumption: 153; max passengers: 755; max distance: 0
Bus:   fuel tank capacity: 597; fuel consumption: 573; max passengers: 639; max distance: 1
Truck: fuel tank capacity: 550; fuel consumption: 799; lifting capacity: 0; max distance: 0
Car:   fuel tank capacity: 163; fuel consumption: 503; max speed: 117; max distance: 0
Bus:   fuel tank capacity: 562; fuel consumption: 12; max passengers: 812; max distance: 46
Car:   fuel tank capacity: 740; fuel consumption: 802; max speed: 578; max distance: 0
Truck: fuel tank capacity: 343; fuel consumption: 580; lifting capacity: 0; max distance: 0
Truck: fuel tank capacity: 337; fuel consumption: 795; lifting capacity: 0; max distance: 0
Bus:   fuel tank capacity: 790; fuel consumption: 203; max passengers: 405; max distance: 3
Truck: fuel tank capacity: 677; fuel consumption: 439; lifting capacity: 0; max distance: 1
Bus:   fuel tank capacity: 330; fuel consumption: 355; max passengers: 181; max distance: 0
Bus:   fuel tank capacity: 126; fuel consumption: 23; max passengers: 734; max distance: 5
Truck: fuel tank capacity: 419; fuel consumption: 629; lifting capacity: 0; max distance: 0
Bus:   fuel tank capacity: 43; fuel consumption: 55; max passengers: 783; max distance: 0
Bus:   fuel tank capacity: 891; fuel consumption: 213; max passengers: 593; max distance: 4
Truck: fuel tank capacity: 567; fuel consumption: 971; lifting capacity: 0; max distance: 0
Truck: fuel tank capacity: 967; fuel consumption: 336; lifting capacity: 0; max distance: 2
Truck: fuel tank capacity: 391; fuel consumption: 296; lifting capacity: 0; max distance: 1
Car:   fuel tank capacity: 732; fuel consumption: 358; max speed: 951; max distance: 2
Truck: fuel tank capacity: 112; fuel consumption: 891; lifting capacity: 0; max distance: 0
Car:   fuel tank capacity: 472; fuel consumption: 29; max speed: 909; max distance: 16
Bus:   fuel tank capacity: 37; fuel consumption: 263; max passengers: 439; max distance: 0
Bus:   fuel tank capacity: 202; fuel consumption: 183; max passengers: 502; max distance: 1
Car:   fuel tank capacity: 201; fuel consumption: 215; max speed: 948; max distance: 0
Truck: fuel tank capacity: 82; fuel consumption: 774; lifting capacity: 0; max distance: 0
Truck: fuel tank capacity: 466; fuel consumption: 822; lifting capacity: 0; max distance: 0
Car:   fuel tank capacity: 580; fuel consumption: 842; max speed: 530; max distance: 0
Bus:   fuel tank capacity: 769; fuel consumption: 461; max passengers: 835; max distance: 1
Bus:   fuel tank capacity: 795; fuel consumption: 623; max passengers: 824; max distance: 1
Truck: fuel tank capacity: 342; fuel consumption: 806; lifting capacity: 0; max distance: 0
Car:   fuel tank capacity: 103; fuel consumption: 377; max speed: 644; max distance: 0
Car:   fuel tank capacity: 50; fuel consumption: 859; max speed: 315; max distance: 0
Bus:   fuel tank capacity: 216; fuel consumption: 376; max passengers: 868; max distance: 0
Bus:   fuel tank capacity: 83; fuel consumption: 794; max passengers: 732; max distance: 0
Bus:   fuel tank capacity: 613; fuel consumption: 709; max passengers: 581; max distance: 0
Bus:   fuel tank capacity: 918; fuel consumption: 507; max passengers: 607; max distance: 1
Bus:   fuel tank capacity: 726; fuel consumption: 736; max passengers: 541; max distance: 0
Car:   fuel tank capacity: 30; fuel consumption: 988; max speed: 909; max distance: 0
Bus:   fuel tank capacity: 740; fuel consumption: 853; max passengers: 301; max distance: 0
Bus:   fuel tank capacity: 485; fuel consumption: 487; max passengers: 763; max distance: 0
Truck: fuel tank capacity: 304; fuel consumption: 651; lifting capacity: 0; max distance: 0
Car:   fuel tank capacity: 347; fuel consumption: 363; max speed: 691; max distance: 0
Car:   fuel tank capacity: 211; fuel consumption: 725; max speed: 226; max distance: 0
Truck: fuel tank capacity: 524; fuel consumption: 10; lifting capacity: 0; max distance: 52
Bus:   fuel tank capacity: 1000; fuel consumption: 522; max passengers: 451; max distance: 1
Bus:   fuel tank capacity: 83; fuel consumption: 785; max passengers: 61; max distance: 0
Truck: fuel tank capacity: 202; fuel consumption: 764; lifting capacity: 0; max distance: 0
Bus:   fuel tank capacity: 8; fuel consumption: 133; max passengers: 949; max distance: 0
Car:   fuel tank capacity: 269; fuel consumption: 938; max speed: 107; max distance: 0
Bus:   fuel tank capacity: 304; fuel consumption: 483; max passengers: 648; max distance: 0
Car:   fuel tank capacity: 560; fuel consumption: 469; max speed: 85; max distance: 1
Truck: fuel tank capacity: 213; fuel consumption: 688; lifting capacity: 0; max distance: 0
Car:   fuel tank capacity: 243; fuel consumption: 857; max speed: 137; max distance: 0
Truck: fuel tank capacity: 563; fuel consumption: 319; lifting capacity: 0; max distance: 1
Truck: fuel tank capacity: 855; fuel consumption: 118; lifting capacity: 0; max distance: 7
Bus:   fuel tank capacity: 536; fuel consumption: 927; max passengers: 82; max distance: 0
Truck: fuel tank capacity: 474; fuel consumption: 791; lifting capacity: 0; max distance: 0
Truck: fuel tank capacity: 653; fuel consumption: 679; lifting capacity: 0; max distance: 0
Car:   fuel tank capacity: 397; fuel consumption: 803; max speed: 56; max distance: 0
Bus:   fuel tank capacity: 443; fuel consumption: 792; max passengers: 302; max distance: 0
Car:   fuel tank capacity: 200; fuel consumption: 941; max speed: 213; max distance: 0
Bus:   fuel tank capacity: 251; fuel consumption: 903; max passengers: 770; max distance: 0
Truck: fuel tank capacity: 503; fuel consumption: 804; lifting capacity: 0; max distance: 0
Car:   fuel tank capacity: 92; fuel consumption: 767; max speed: 847; max distance: 0
Car:   fuel tank capacity: 55; fuel consumption: 626; max speed: 846; max distance: 0
Car:   fuel tank capacity: 816; fuel consumption: 254; max speed: 259; max distance: 3
Truck: fuel tank capacity: 440; fuel consumption: 668; lifting capacity: 0; max distance: 0
Bus:   fuel tank capacity: 602; fuel consumption: 456; max passengers: 907; max distance: 1
Car:   fuel tank capacity: 299; fuel consumption: 996; max speed: 93; max distance: 0
Car:   fuel tank capacity: 30; fuel consumption: 795; max speed: 554; max distance: 0
Car:   fuel tank capacity: 567; fuel consumption: 541; max speed: 202; max distance: 1
Car:   fuel tank capacity: 521; fuel consumption: 320; max speed: 232; max distance: 1
Truck: fuel tank capacity: 221; fuel consumption: 532; lifting capacity: 0; max distance: 0
Truck: fuel tank capacity: 106; fuel consumption: 667; lifting capacity: 0; max distance: 0
Bus:   fuel tank capacity: 725; fuel consumption: 164; max passengers: 930; max distance: 4
Bus:   fuel tank capacity: 276; fuel consumption: 777; max passengers: 632; max distance: 0
Truck: fuel tank capacity: 449; fuel consumption: 543; lifting capacity: 0; max distance: 0
Truck: fuel tank capacity: 352; fuel consumption: 939; lifting capacity: 0; max distance: 0
Bus:   fuel tank capacity: 672; fuel consumption: 19; max passengers: 633; max distance: 35
Bus:   fuel tank capacity: 653; fuel consumption: 172; max passengers: 131; max distance: 3
Car:   fuel tank capacity: 485; fuel consumption: 463; max speed: 731; max distance: 1
Car:   fuel tank capacity: 544; fuel consumption: 808; max speed: 238; max distance: 0
Truck: fuel tank capacity: 491; fuel consumption: 381; lifting capacity: 0; max distance: 1
Truck: fuel tank capacity: 41; fuel consumption: 722; lifting capacity: 0; max distance: 0
Truck: fuel tank capacity: 771; fuel consumption: 157; lifting capacity: 0; max distance: 4
Bus:   fuel tank capacity: 540; fuel consumption: 787; max passengers: 585; max distance: 0
Bus:   fuel tank capacity: 346; fuel consumption: 632; max passengers: 535; max distance: 0
Truck: fuel tank capacity: 811; fuel consumption: 901; lifting capacity: 0; max distance: 0
Car:   fuel tank capacity: 784; fuel consumption: 757; max speed: 363; max distance: 1
Bus:   fuel tank capacity: 14; fuel consumption: 478; max passengers: 99; max distance: 0
Bus:   fuel tank capacity: 36; fuel consumption: 760; max passengers: 441; max distance: 0
Car:   fuel tank capacity: 860; fuel consumption: 709; max speed: 472; max distance: 1
Car:   fuel tank capacity: 458; fuel consumption: 964; max speed: 209; max distance: 0
Car:   fuel tank capacity: 794; fuel consumption: 255; max speed: 35; max distance: 3
Bus:   fuel tank capacity: 939; fuel consumption: 814; max passengers: 271; max distance: 1
Car:   fuel tank capacity: 837; fuel consumption: 358; max speed: 227; max distance: 2
Car:   fuel tank capacity: 613; fuel consumption: 257; max speed: 907; max distance: 2
Truck: fuel tank capacity: 299; fuel consumption: 685; lifting capacity: 0; max distance: 0
Car:   fuel tank capacity: 634; fuel consumption: 393; max speed: 146; max distance: 1
Bus:   fuel tank capacity: 422; fuel consumption: 877; max passengers: 214; max distance: 0
Truck: fuel tank capacity: 231; fuel consumption: 694; lifting capacity: 0; max distance: 0
Car:   fuel tank capacity: 992; fuel consumption: 938; max speed: 82; max distance: 1
Truck: fuel tank capacity: 51; fuel consumption: 583; lifting capacity: 0; max distance: 0
Truck: fuel tank capacity: 72; fuel consumption: 243; lifting capacity: 0; max distance: 0
Bus:   fuel tank capacity: 431; fuel consumption: 541; max passengers: 410; max distance: 0
Bus:   fuel tank capacity: 761; fuel consumption: 431; max passengers: 682; max distance: 1
Bus:   fuel tank capacity: 628; fuel consumption: 772; max passengers: 282; max distance: 0
Bus:   fuel tank capacity: 33; fuel consumption: 680; max passengers: 817; max distance: 0
Truck: fuel tank capacity: 22; fuel consumption: 370; lifting capacity: 0; max distance: 0
Bus:   fuel tank capacity: 543; fuel consumption: 901; max passengers: 426; max distance: 0
Car:   fuel tank capacity: 201; fuel consumption: 452; max speed: 531; max distance: 0
Car:   fuel tank capacity: 884; fuel consumption: 605; max speed: 223; max distance: 1
Truck: fuel tank capacity: 539; fuel consumption: 976; lifting capacity: 0; max distance: 0
Bus:   fuel tank capacity: 374; fuel consumption: 680; max passengers: 529; max distance: 0
Truck: fuel tank capacity: 786; fuel consumption: 71; lifting capacity: 0; max distance: 11
Bus:   fuel tank capacity: 380; fuel consumption: 454; max passengers: 281; max distance: 0
Car:   fuel tank capacity: 339; fuel consumption: 654; max speed: 870; max distance: 0
Truck: fuel tank capacity: 573; fuel consumption: 477; lifting capacity: 0; max distance: 1
Car:   fuel tank capacity: 212; fuel consumption: 401; max speed: 195; max distance: 0
Truck: fuel tank capacity: 300; fuel consumption: 821; lifting capacity: 0; max distance: 0
Bus:   fuel tank capacity: 822; fuel consumption: 387; max passengers: 560; max distance: 2
Car:   fuel tank capacity: 34; fuel consumption: 565; max speed: 391; max distance: 0
Truck: fuel tank capacity: 582; fuel consumption: 382; lifting capacity: 0; max distance: 1
Bus:   fuel tank capacity: 788; fuel consumption: 592; max passengers: 502; max distance: 1
Bus:   fuel tank capacity: 873; fuel consumption: 337; max passengers: 631; max distance: 2
Bus:   fuel tank capacity: 550; fuel consumption: 178; max passengers: 893; max distance: 3
Car:   fuel tank capacity: 48; fuel consumption: 420; max speed: 653; max distance: 0
Bus:   fuel tank capacity: 509; fuel consumption: 242; max passengers: 9; max distance: 2
Bus:   fuel tank capacity: 500; fuel consumption: 893; max passengers: 564; max distance: 0
Truck: fuel tank capacity: 583; fuel consumption: 850; lifting capacity: 0; max distance: 0
Bus:   fuel tank capacity: 889; fuel consumption: 327; max passengers: 872; max distance: 2
Car:   fuel tank capacity: 172; fuel consumption: 66; max speed: 931; max distance: 2
Truck: fuel tank capacity: 641; fuel consumption: 352; lifting capacity: 0; max distance: 1
Truck: fuel tank capacity: 329; fuel consumption: 355; lifting capacity: 0; max distance: 0
Truck: fuel tank capacity: 23; fuel consumption: 242; lifting capacity: 0; max distance: 0
Truck: fuel tank capacity: 337; fuel consumption: 607; lifting capacity: 0; max distance: 0
Car:   fuel tank capacity: 787; fuel consumption: 706; max speed: 451; max distance: 1
Truck: fuel tank capacity: 201; fuel consumption: 996; lifting capacity: 0; max distance: 0
Bus:   fuel tank capacity: 399; fuel consumption: 355; max passengers: 358; max distance: 1
Bus:   fuel tank capacity: 706; fuel consumption: 143; max passengers: 467; max distance: 4
Bus:   fuel tank capacity: 528; fuel consumption: 815; max passengers: 308; max distance: 0
Car:   fuel tank capacity: 187; fuel consumption: 628; max speed: 438; max distance: 0
Truck: fuel tank capacity: 815; fuel consumption: 125; lifting capacity: 0; max distance: 6
Bus:   fuel tank capacity: 479; fuel consumption: 787; max passengers: 864; max distance: 0
Car:   fuel tank capacity: 498; fuel consumption: 270; max speed: 31; max distance: 1
Truck: fuel tank capacity: 670; fuel consumption: 977; lifting capacity: 0; max distance: 0
Bus:   fuel tank capacity: 114; fuel consumption: 242; max passengers: 5; max distance: 0
Truck: fuel tank capacity: 559; fuel consumption: 982; lifting capacity: 0; max distance: 0
Bus:   fuel tank capacity: 673; fuel consumption: 652; max passengers: 561; max distance: 1
Truck: fuel tank capacity: 134; fuel consumption: 697; lifting capacity: 0; max distance: 0
Truck: fuel tank capacity: 463; fuel consumption: 800; lifting capacity: 0; max distance: 0
Car:   fuel tank capacity: 146; fuel consumption: 514; max speed: 562; max distance: 0
Truck: fuel tank capacity: 787; fuel consumption: 49; lifting capacity: 0; max distance: 16
Car:   fuel tank capacity: 790; fuel consumption: 897; max speed: 466; max distance: 0
Truck: fuel tank capacity: 202; fuel consumption: 158; lifting capacity: 0; max distance: 1
Bus:   fuel tank capacity: 946; fuel consumption: 397; max passengers: 339; max distance: 2
Car:   fuel tank capacity: 206; fuel consumption: 919; max speed: 610; max distance: 0
Truck: fuel tank capacity: 516; fuel consumption: 364; lifting capacity: 0; max distance: 1
Car:   fuel tank capacity: 194; fuel consumption: 608; max speed: 998; max distance: 0
Car:   fuel tank capacity: 932; fuel consumption: 938; max speed: 583; max distance: 0
Truck: fuel tank capacity: 994; fuel consumption: 612; lifting capacity: 0; max distance: 1
Car:   fuel tank capacity: 313; fuel consumption: 611; max speed: 531; max distance: 0
Car:   fuel tank capacity: 817; fuel consumption: 21; max speed: 465; max distance: 38
Truck: fuel tank capacity: 941; fuel consumption: 61; lifting capacity: 0; max distance: 15
Truck: fuel tank capacity: 127; fuel consumption: 632; lifting capacity: 0; max distance: 0
Bus:   fuel tank capacity: 838; fuel consumption: 279; max passengers: 272; max distance: 3
Bus:   fuel tank capacity: 251; fuel consumption: 732; max passengers: 508; max distance: 0
Car:   fuel tank capacity: 400; fuel consumption: 752; max speed: 158; max distance: 0
Truck: fuel tank capacity: 883; fuel consumption: 201; lifting capacity: 0; max distance: 4
Bus:   fuel tank capacity: 92; fuel consumption: 242; max passengers: 762; max distance: 0
Bus:   fuel tank capacity: 700; fuel consumption: 404; max passengers: 245; max distance: 1
Truck: fuel tank capacity: 915; fuel consumption: 635; lifting capacity: 0; max distance: 1
Car:   fuel tank capacity: 509; fuel consumption: 900; max speed: 504; max distance: 0
Car:   fuel tank capacity: 732; fuel consumption: 976; max speed: 923; max distance: 0
Car:   fuel tank capacity: 339; fuel consumption: 935; max speed: 64; max distance: 0
Bus:   fuel tank capacity: 527; fuel consumption: 922; max passengers: 547; max distance: 0
Car:   fuel tank capacity: 969; fuel consumption: 56; max speed: 769; max distance: 17
Bus:   fuel tank capacity: 349; fuel consumption: 677; max passengers: 870; max distance: 0
Bus:   fuel tank capacity: 848; fuel consumption: 115; max passengers: 770; max distance: 7
Truck: fuel tank capacity: 376; fuel consumption: 714; lifting capacity: 0; max distance: 0
Truck: fuel tank capacity: 999; fuel consumption: 627; lifting capacity: 0; max distance: 1
Bus:   fuel tank capacity: 389; fuel consumption: 459; max passengers: 490; max distance: 0
Truck: fuel tank capacity: 91; fuel consumption: 745; lifting capacity: 0; max distance: 0
Truck: fuel tank capacity: 236; fuel consumption: 839; lifting capacity: 0; max distance: 0
Truck: fuel tank capacity: 9; fuel consumption: 522; lifting capacity: 0; max distance: 0
Bus:   fuel tank capacity: 83; fuel consumption: 902; max passengers: 463; max distance: 0
Car:   fuel tank capacity: 152; fuel consumption: 589; max speed: 522; max distance: 0
Bus:   fuel tank capacity: 170; fuel consumption: 993; max passengers: 853; max distance: 0
Truck: fuel tank capacity: 633; fuel consumption: 975; lifting capacity: 0; max distance: 0
Car:   fuel tank capacity: 46; fuel consumption: 98; max speed: 692; max distance: 0
Truck: fuel tank capacity: 385; fuel consumption: 708; lifting capacity: 0; max distance: 0
Bus:   fuel tank capacity: 80; fuel consumption: 450; max passengers: 866; max distance: 0
Truck: fuel tank capacity: 543; fuel consumption: 251; lifting capacity: 0; max distance: 2
Truck: fuel tank capacity: 804; fuel consumption: 720; lifting capacity: 0; max distance: 1
Truck: fuel tank capacity: 159; fuel consumption: 447; lifting capacity: 0; max distance: 0
Truck: fuel tank capacity: 773; fuel consumption: 316; lifting capacity: 0; max distance: 2
Truck: fuel tank capacity: 498; fuel consumption: 508; lifting capacity: 0; max distance: 0
Bus:   fuel tank capacity: 683; fuel consumption: 720; max passengers: 760; max distance: 0
Car:   fuel tank capacity: 257; fuel consumption: 718; max speed: 72; max distance: 0
Bus:   fuel tank capacity: 865; fuel consumption: 120; max passengers: 93; max distance: 7
Truck: fuel tank capacity: 845; fuel consumption: 826; lifting capacity: 0; max distance: 1
Bus:   fuel tank capacity: 357; fuel consumption: 117; max passengers: 883; max distance: 3
Truck: fuel tank capacity: 278; fuel consumption: 360; lifting capacity: 0; max distance: 0
Car:   fuel tank capacity: 190; fuel consumption: 999; max speed: 201; max distance: 0
Bus:   fuel tank capacity: 795; fuel consumption: 843; max passengers: 4; max distance: 0
Truck: fuel tank capacity: 192; fuel consumption: 706; lifting capacity: 0; max distance: 0
Truck: fuel tank capacity: 502; fuel consumption: 771; lifting capacity: 0; max distance: 0
Bus:   fuel tank capacity: 191; fuel consumption: 736; max passengers: 482; max distance: 0
Truck: fuel tank capacity: 276; fuel consumption: 287; lifting capacity: 0; max distance: 0
Truck: fuel tank capacity: 665; fuel consumption: 982; lifting capacity: 0; max distance: 0
Truck: fuel tank capacity: 670; fuel consumption: 238; lifting capacity: 0; max distance: 2
Car:   fuel tank capacity: 337; fuel consumption: 683; max speed: 599; max distance: 0
Truck: fuel tank capacity: 997; fuel consumption: 527; lifting capacity: 0; max distance: 1
Bus:   fuel tank capacity: 866; fuel consumption: 269; max passengers: 352; max distance: 3
Bus:   fuel tank capacity: 333; fuel consumption: 903; max passengers: 267; max distance: 0
Car:   fuel tank capacity: 325; fuel consumption: 531; max speed: 480; max distance: 0
Truck: fuel tank capacity: 287; fuel consumption: 289; lifting capacity: 0; max distance: 0
Bus:   fuel tank capacity: 579; fuel consumption: 340; max passengers: 590; max distance: 1
Truck: fuel tank capacity: 200; fuel consumption: 54; lifting capacity: 0; max distance: 3
Truck: fuel tank capacity: 591; fuel consumption: 490; lifting capacity: 0; max distance: 1
Truck: fuel tank capacity: 23; fuel consumption: 336; lifting capacity: 0; max distance: 0
Car:   fuel tank capacity: 209; fuel consumption: 518; max speed: 308; max distance: 0
Bus:   fuel tank capacity: 593; fuel consumption: 213; max passengers: 131; max distance: 2
Car:   fuel tank capacity: 383; fuel consumption: 302; max speed: 57; max distance: 1
Bus:   fuel tank capacity: 643; fuel consumption: 193; max passengers: 347; max distance: 3
Bus:   fuel tank capacity: 214; fuel consumption: 705; max passengers: 79; max distance: 0
Bus:   fuel tank capacity: 762; fuel consumption: 83; max passengers: 861; max distance: 9
Bus:   fuel tank capacity: 767; fuel consumption: 403; max passengers: 351; max distance: 1
